Date,ISIN,Symbol,Price,Source
2025-04-24,INE679A01013,CSBBANK.NS,,yfinance
2025-04-24,INE627H01017,CTE.NS,,yfinance
2025-04-24,INE491A01021,CUB.NS,,yfinance
2025-04-24,INE144D01012,CUBEXTUB.NS,,yfinance
2025-04-24,INE298A01020,CUMMINSIND.NS,,yfinance
2025-04-24,INE509F01011,CUPID.NS,,yfinance
2025-04-24,INE278G01037,CYBERMEDIA.NS,,yfinance
2025-04-24,INE214A01019,CYBERTECH.NS,,yfinance
2025-04-24,INE136B01020,CYIENT.NS,,yfinance
2025-04-24,INE818H01020,DAAWAT.NS,,yfinance
2025-04-24,INE016A01026,DABUR.NS,,yfinance
2025-04-24,INE00R701025,DALBHARAT.NS,,yfinance
2025-04-24,INE495A01022,DALMIASUG.NS,,yfinance
2025-04-24,INE497D01022,DAMODARIND.NS,,yfinance
2025-04-24,INE688Y01014,DANGEE.NS,4.869999885559082,yfinance
2025-04-24,INE365B01017,DATAMATICS.NS,,yfinance
2025-04-24,INE950I01011,DBCORP.NS,,yfinance
2025-04-24,INE917M01012,DBL.NS,453.3999938964844,yfinance
2025-04-24,INE879I01012,DBREALTY.NS,,yfinance
2025-04-24,INE921B01025,DBSTOCKBRO.NS,28.26000022888184,yfinance
2025-04-24,INE385W01011,DCAL.NS,215.42999267578125,yfinance
2025-04-24,INE503A01015,DCBBANK.NS,,yfinance
2025-04-24,INE498A01018,DCM.NS,107.0199966430664,yfinance
2025-04-24,INE891B01012,DCMFINSERV.NS,,yfinance
2025-04-24,INE08KP01019,DCMNVL.NS,,yfinance
2025-04-24,INE499A01024,DCMSHRIRAM.NS,,yfinance
2025-04-24,INE500A01029,DCW.NS,,yfinance
2025-04-24,INE583C01021,DECCANCE.NS,,yfinance
2025-04-24,INE501A01019,DEEPAKFERT.NS,1317.699951171875,yfinance
2025-04-24,INE288B01029,DEEPAKNTR.NS,,yfinance
2025-04-24,INE677H01012,DEEPENR.NS,,yfinance
2025-04-24,INE124G01033,DELTACORP.NS,94.20999908447266,yfinance
2025-04-24,INE393A01011,DELTAMAGNT.NS,,yfinance
2025-04-24,INE947J01015,DEN.NS,,yfinance
2025-04-24,INE244A01016,DENORA.NS,830.7999877929688,yfinance
2025-04-24,INE456C01020,DFMFOODS.NS,,yfinance
2025-04-24,INE03JI01017,DGCONTENT.NS,39.56999969482422,yfinance
2025-04-24,INE041A01016,DHAMPURSUG.NS,,yfinance
2025-04-24,INE680A01011,DHANBANK.NS,,yfinance
2025-04-24,INE274G01010,DHANI.NS,,yfinance
2025-04-24,INE435G01025,DHANUKA.NS,1356.9000244140625,yfinance
2025-04-24,INE988C01014,DHARSUGAR.NS,,yfinance
2025-04-24,INE202B01012,DHFL.NS,,yfinance
