ISIN,Symbol,Type,Name
INE475E01026,CAPLIPOINT.NS,EQ,Caplin Point Laboratories Limited
INE707C01018,CAPTRUST.NS,EQ,Capital Trust Limited
INE120A01034,CARBORUNIV.NS,EQ,Carborundum Universal Limited
INE521J01018,CAREERP.NS,EQ,Career Point Limited
INE752H01013,CARERATING.NS,EQ,CARE Ratings Limited
INE172A01027,CASTROLIND.NS,EQ,Castrol India Limited
INE652F01027,CCHHL.NS,EQ,Country Club Hospitality & Holidays Limited
INE421D01022,CCL.NS,EQ,CCL Products (India) Limited
INE736A01011,CDSL.NS,EQ,Central Depository Services (India) Limited
INE482A01020,CEATLTD.NS,EQ,CEAT Limited
INE209L01016,CEBBCO.NS,EQ,Commercial Engineers & Body Builders Co Limited
INE185H01016,CELEBRITY.NS,EQ,Celebrity Fashions Limited
INE485A01015,CENTENKA.NS,EQ,Century Enka Limited
INE281A01026,CENTEXT.NS,EQ,Century Extrusions Limited
INE483A01010,CENTRALBK.NS,EQ,Central Bank of India
INE660C01027,CENTRUM.NS,EQ,Centrum Capital Limited
INE320B01020,CENTUM.NS,EQ,Centum Electronics Limited
INE348B01021,CENTURYPLY.NS,EQ,Century Plyboards (India) Limited
INE055A01016,CENTURYTEX.NS,EQ,Century Textiles & Industries Limited
INE739E01017,CERA.NS,EQ,Cera Sanitaryware Limited
INE345B01019,CEREBRAINT.NS,EQ,Cerebra Integrated Technologies Limited
INE486A01013,CESC.NS,EQ,CESC Limited
INE425Y01011,CESCVENT.NS,EQ,CESC Ventures Limited
INE180C01026,CGCL.NS,EQ,Capri Global Capital Limited
INE067A01029,CGPOWER.NS,EQ,CG Power and Industrial Solutions Limited
INE427F01016,CHALET.NS,EQ,Chalet Hotels Limited
INE085A01013,CHAMBLFERT.NS,EQ,Chambal Fertilizers & Chemicals Limited
INE995D01025,CHEMBOND.NS,EQ,Chembond Chemicals Ltd
INE03YM01018,CHEMCON.NS,EQ,Chemcon Speciality Chemicals Limited
INE783X01023,CHEMFAB.NS,EQ,Chemfab Alkalis Limited
INE178A01016,CHENNPETRO.NS,EQ,Chennai Petroleum Corporation Limited
INE121A01024,CHOLAFIN.NS,EQ,Cholamandalam Investment and Finance Company Limited
INE149A01033,CHOLAHLDNG.NS,EQ,Cholamandalam Financial Holdings Limited
INE662C01015,CHROMATIC.NS,EQ,Chromatic India Limited
INE675C01017,CIGNITITEC.NS,EQ,Cigniti Technologies Limited
INE704H01022,CINELINE.NS,EQ,Cineline India Limited
INE039B01026,CINEVISTA.NS,EQ,Cinevista Limited
INE059A01026,CIPLA.NS,EQ,Cipla Limited
INE201M01011,CLEDUCATE.NS,EQ,CL Educate Limited
INE492A01029,CLNINDIA.NS,EQ,Clariant Chemicals (India) Limited
INE981B01011,CMICABLES.NS,EQ,CMI Limited
INE672K01025,CNOVAPETRO.NS,EQ,CIL Nova Petrochemicals Limited
INE522F01014,COALINDIA.NS,EQ,Coal India Limited
INE704P01017,COCHINSHIP.NS,EQ,Cochin Shipyard Limited
INE591G01017,COFORGE.NS,EQ,Coforge Limited
INE259A01022,COLPAL.NS,EQ,Colgate Palmolive (India) Limited
INE070C01037,COMPINFO.NS,EQ,Compuage Infocom Limited
INE453B01029,COMPUSOFT.NS,EQ,Compucom Software Limited
INE111A01025,CONCOR.NS,EQ,Container Corporation of India Limited
INE552D01024,CONFIPET.NS,EQ,Confidence Petroleum India Limited
INE025A01027,CONSOFINVT.NS,EQ,Consolidated Finvest & Holdings Limited
INE663B01015,CONTROLPR.NS,EQ,Control Print Limited
INE558D01021,CORALFINAC.NS,EQ,Coral India Finance & Housing Limited
INE792I01017,CORDSCABLE.NS,EQ,Cords Cable Industries Limited
